utterance,tran_raw_2025,final_intent,suggested_intent_status,intent_confidence,needs_review,intent_reason
I need help to add accessibility feature on my thesis report before uploading to ohiolink,tran_raw_2024,accessibility_services,overridden,medium,TRUE,Needs accessibility help for thesis before OhioLINK upload.
Can you help me get my dissertation into accessibly PFD format so I can upload it to OhioLink? I am really struggling with Adobe and not sure where to go next,tran_raw_2023,accessibility_services,overridden,medium,TRUE,Needs help making dissertation an accessible PDF; Adobe/OhioLINK are secondary.
"Hello, the textbook for my course is out of print. I'd like to scan select chapters to post on my Canvas page that are ADA compliant. Do you have services for that?",tran_raw_2024,accessibility_services,overridden,medium,TRUE,Asks about ADA-compliant scanning for Canvas course content.
"I have a document that needs to be made into alt-text, but currently it is inaccessible. I used Adobe Acrobat Pro to convert it to OCR, but it is still not accessible for a screen reader. Could you please help me?",tran_raw_2024,accessibility_services,missing,high,FALSE,Needs help making a document screen-reader accessible with alt text/OCR.
"I am completing a project for an information science course; I was curious what provisions the MU Libraries website has in place for users who may have accessibility issues (visual, hearing or mobility) impairment, thanks!",tran_raw_2023,accessibility_services,missing,high,FALSE,Asks about library website provisions for users with disabilities.
"I am doing a research project on accessibility, specifically in libraries. What kind of accommodations does the library provide?",tran_raw_2025,accessibility_services,missing,high,FALSE,Asks what accessibility accommodations the library provides.
Do we have any librarians who know how to use PREF software to remediate PDFs? I am hoping someone can double check my work.,tran_raw_2025,accessibility_services,missing,medium,FALSE,"Asks for PDF remediation support, an accessibility-related service."
"If someone has a documented disability that makes paper books harder to read, could the library access or pay for an ebook version?",tran_raw_2026_5,accessibility_services,missing,high,FALSE,Asks about disability-related access to ebook alternative.
Trying to make my courses more accessible. Would you suggest providing a link to the full text of a journal rather than pdf?,tran_raw_2026_5,accessibility_services,missing,medium,FALSE,Asks about making course materials more accessible.
"Hi, can you see what books I have checked out in the past?",tran_raw_2025,account,accepted,high,FALSE,Asks about personal checkout history/account information.
Is there a way via MyAccount to see the books I have checked out in the past?,tran_raw_2025,account,accepted,high,FALSE,Asks about MyAccount and past personal checkouts.
I am asking for sister....is the system down for people to log into their accounts to see their checked out items and do renewals?,tran_raw_2023,account,accepted,high,FALSE,"Account login, checked-out items, and renewals in personal account."
"Hi, can you see what books I have checked out in the past?",tran_raw_2025,account,accepted,high,FALSE,Asks about personal past checkouts in library account.
Is there a way via MyAccount to see the books I have checked out in the past?,tran_raw_2025,account,accepted,high,FALSE,Asks MyAccount history for personal checked-out books.
I am asking for sister....is the system down for people to log into their accounts to see their checked out items and do renewals?,tran_raw_2023,account,accepted,high,FALSE,Account login and personal checked-out items/renewals issue.
how do i find when my book is due?,tran_raw_2025,account,overridden,high,FALSE,Asks how to find personal book due date.
"hi, where can I find my saved articles",tran_raw_2025,account,overridden,low,TRUE,Saved articles may relate to a personal library account or platform account.
"Hi, I graduate on the 11th of August this year. Can I know what the deadline is for me to return the books I have checked out?",tran_raw_2023,account,overridden,medium,FALSE,Asks personal deadline for books currently checked out.
If I have fees to pay is there any way I can pay them online? I see that I have 40$ in late fees and I wanna pay them now but digitally is there any way to do that?,tran_raw_2024,account,overridden,high,FALSE,Asks how to pay personal late fees online.
Please advise me how to find out the books that I have checked out and are due/or overdue. Thanks!,tran_raw_2023,account,overridden,high,FALSE,Asks how to view personal checked-out items and due/overdue status.
Where is my book,tran_raw_2024,account,overridden,low,TRUE,Very brief personal item-status question; likely account or hold status.
where is my record of checked out books?,tran_raw_2025,account,overridden,high,FALSE,Asks about personal record of checked-out books.
"I have several books checked out that I am using for my doctorate. I believe that I may have missed a renewal notice and have received a bill. I still have the book, is it too late to return it?",tran_raw_2025,account,overridden,high,FALSE,"Personal checkouts and bill/account status, not just renewal."
"I placed a request for a book I need for a class, why did my request disappear? I have had no contact about the book either, it just isn't a request anymore.",tran_raw_2026_5,account,missing,medium,FALSE,Asks about a personal request disappearing from their library account.
I need to use a library card number and pin for a LinkedIn online class course videos however in order to access I need a Library card number and a pin. I'm not sure if I already have a library card but I wanted to check.,tran_raw_2023,account,missing,medium,FALSE,Asks about library card number and PIN for access.
I received an email from Gardner-Harvey library saying a book was overdue. I returned it to the Armstrong drop box on Monday. Can you check to see if you returned it?,tran_raw_2023,account,missing,high,FALSE,Personal overdue email and returned item status.
what's the library barcode,tran_raw_2023,account,missing,medium,TRUE,Library barcode likely relates to patron account access.
Where do i find a list of books I've currently checked out?,tran_raw_2023,account,missing,high,FALSE,Asks where to see personal checked-out items.
Hi! I was wondering how I can pay library fines,tran_raw_2023,account,missing,high,FALSE,Asks how to pay personal library fines.
How can I pay my library fines?,tran_raw_2023,account,missing,high,FALSE,Personal library fines payment question.
Do I have any overdue books or fines?,tran_raw_2023,account,missing,high,FALSE,Asks about personal overdue books and fines.
"I lost two books I borrowed, please help. What is the process for making payment on the two books I have misplaced and am unable to locate to return to King.",tran_raw_2023,account,missing,high,FALSE,Personal lost borrowed books and payment process concerns account/fines.
"I thought I had rechecked my books out online, but I was just sent a 230$ fine for ""lost books"" when I have the books, I am just still using them. I am not really sure what I should do.",tran_raw_2023,account,missing,high,FALSE,Personal fines and checkouts issue with lost-book charge.
why am i not signed in,tran_raw_2023,account,missing,medium,TRUE,Short login/account sign-in problem is underspecified.
How long after checking books back into the library does this information reflect in my library account?,tran_raw_2023,account,missing,high,FALSE,Asks when returned items update in personal library account.
"Hello! I am trying to request an item from the library, but it is not recognizing my unique ID. Any idea how I can trouble shoot that?",tran_raw_2024,account,missing,medium,FALSE,"User has login/ID trouble while requesting an item, indicating account access issue."
I can't get logged in to see my folders.,tran_raw_2024,account,missing,medium,TRUE,Login problem to personal folders; exact platform unclear.
How do I view holds I have made?,tran_raw_2024,account,missing,high,FALSE,"User asks to view personal holds, which is account status."
Hello! How do I pay fees for overdue books?,tran_raw_2024,account,missing,high,FALSE,Asks how to pay personal overdue fees.
Sorry... I went to log in,tran_raw_2024,account,missing,low,TRUE,"Mentions logging in, but context and target system are unclear."
"Hi, I'm wondering whether you're able to access my record of checking out books? I wrote down a reference and I cannot find it.",tran_raw_2024,account,missing,high,FALSE,Asks about personal checkout history or account record.
I keep trying to log into the library with my unique ID and password but keep getting a message that my log in is invalid. Can you help? Thank you.,tran_raw_2024,account,missing,high,FALSE,Personal library login problem with credentials.
I'm having trouble accessing my online library account and can't see where to reset the password.,tran_raw_2024,account,missing,high,FALSE,Trouble accessing online library account and password reset.
"I wanted to look up a book I borrowed and renewed several times, but I can't seem to find a history of the books I borrowed.",tran_raw_2024,account,missing,high,FALSE,Asks about personal borrowing history in library account.
Is it possible for me to look up the items I have requested?,tran_raw_2024,account,missing,high,FALSE,User wants to view personally requested items.
How do I log in to Miami Library account? I tried using my Unique Id and Pw. It says invalid credentials. Do I have to make a seperate library account?,tran_raw_2024,account,missing,high,FALSE,Asks about logging into Miami Library account and credentials.
how to create a library account?,tran_raw_2024,account,missing,high,FALSE,Asks how to create or access a library account.
I have a replacement cost that has been issued to me. Can I pay it online? I couldn't find anywhere to do so and so I wasn't sure. Thanks,tran_raw_2024,account,missing,high,FALSE,Personal replacement charge and online payment question.
"Hello, I'm attempting to request some research materials. but have never done so before. Could you explain where I am to find a 'Library Barcode"" ?",tran_raw_2024,account,missing,medium,FALSE,Asks where to find personal library barcode for requesting.
"I requested a book, what should I do next? How can I see the status of it and when to pick-up?",tran_raw_2024,account,missing,high,FALSE,User asks status of their requested item and pickup.
"Hello, I completely forgot to pick up a book that I requested! Is the hold still available, or has it been sent back to its home library? The book is: Urban biophysical environments / Howard Bridgman, Robin Warner, John Dodson",tran_raw_2024,account,missing,high,FALSE,Asks about personal hold status for a requested book.
"the library will not let me log in, I am trying to see my own folder but I cannot even sign in. It says the token (?) expired on monday. Thank you for your help!",tran_raw_2024,account,missing,medium,FALSE,Cannot sign in to personal library folder/account.
I just want to make sure I donât have any outstanding fees or books due before I graduate,tran_raw_2024,account,missing,high,FALSE,Asks about personal fees and books due.
Is their an email for someone I can speak to about fines for textbooks?,tran_raw_2025,account,missing,medium,FALSE,Asks about contacting someone regarding personal textbook fines.
"Hello, how can I pay my lib fines?",tran_raw_2025,account,missing,high,FALSE,Asks about paying personal library fines.
Hi! How do I check if I have any outstanding fines from overdue books?,tran_raw_2025,account,missing,high,FALSE,Personal fines/account status question.
how can I access to my library account? it seems to disappear from the main page now,tran_raw_2025,account,missing,high,FALSE,Asks how to access personal library account.
I have a community borrower's card through Middletown and have never used a password to reserve a book. Is this new?,tran_raw_2025,account,missing,medium,FALSE,Password question tied to borrower account and requesting a book.
I tried to renew a book and get the message Your account has expired. What do I need to do to get it activated?,tran_raw_2025,account,missing,high,FALSE,Personal account expired while attempting renewal.
I am unable to log in to my library. account,tran_raw_2025,account,missing,high,FALSE,Unable to log in to personal library account.
why cant i log in to the library?,tran_raw_2025,account,missing,medium,FALSE,Login issue phrased as library account access.
Why canât I sign in to my library account?,tran_raw_2025,account,missing,high,FALSE,Cannot sign in to personal library account.
I can't get logged into the library system,tran_raw_2025,account,missing,medium,TRUE,"Login issue with library system likely account access, but system unspecified."
"I can't get logged into the library system, and I cleared cookies",tran_raw_2025,account,missing,medium,FALSE,User cannot log into the library system; likely account access issue.
